                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    130,                0.64662,                0.47438,                0.11187,                0.89432,                0.86228,                0.91437,                0.62147,                0.42757,                0.35664,                0.07643,                 0.0001,                 0.0001,                 0.0001
                    131,                0.64733,                0.47951,                 0.1118,                0.89595,                0.86574,                0.91876,                0.62466,                0.42456,                0.35465,                0.07607,                 0.0001,                 0.0001,                 0.0001
                    132,                0.64183,                0.47814,                  0.111,                0.89887,                0.85992,                0.91623,                0.62207,                0.42267,                0.35327,                0.07596,                 0.0001,                 0.0001,                 0.0001
                    133,                0.63957,                0.47584,                0.11091,                0.90381,                0.85733,                0.91734,                0.62767,                0.41829,                0.35063,                0.07556,                 0.0001,                 0.0001,                 0.0001
                    134,                0.63947,                0.47526,                0.11102,                0.91496,                0.84169,                0.91634,                0.62878,                0.41639,                0.34923,                0.07521,                 0.0001,                 0.0001,                 0.0001
                    135,                 0.6473,                0.47954,                0.11274,                0.91115,                 0.8485,                 0.9171,                0.62967,                0.41566,                  0.348,                0.07478,                 0.0001,                 0.0001,                 0.0001
                    136,                 0.6334,                0.47462,                0.10912,                0.90838,                0.85078,                0.91774,                0.63286,                0.41484,                0.34771,                0.07465,                 0.0001,                 0.0001,                 0.0001
                    137,                0.63817,                0.47665,                 0.1099,                0.91497,                0.85106,                 0.9221,                 0.6295,                 0.4196,                0.34842,                0.07513,                 0.0001,                 0.0001,                 0.0001
                    138,                0.63967,                0.47863,                0.11064,                0.93284,                0.84958,                0.92461,                0.63234,                0.42151,                0.34848,                0.07518,                 0.0001,                 0.0001,                 0.0001
                    139,                0.63311,                0.47156,                0.10911,                0.93698,                0.84899,                0.92555,                0.63544,                0.41855,                0.34732,                0.07473,                 0.0001,                 0.0001,                 0.0001
                    140,                0.64086,                0.47704,                0.11234,                0.92507,                 0.8535,                0.92645,                0.63993,                0.41471,                0.34592,                0.07416,                 0.0001,                 0.0001,                 0.0001
                    141,                0.63076,                 0.4718,                0.10919,                0.91912,                0.85964,                0.92492,                0.63512,                0.41691,                 0.3469,                 0.0743,                 0.0001,                 0.0001,                 0.0001
                    142,                0.63559,                0.47427,                0.10924,                0.91779,                0.86159,                0.92892,                0.64073,                0.41172,                0.34552,                0.07373,                 0.0001,                 0.0001,                 0.0001
